"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sym","KO","bnum"
"17105_thiF",27.0329747965878,0.418759159328778,0.318678684364633,1.31404822435388,0.188829976148494,0.229457309530613,thiF,K03148,b3992
"17106_thiE",18.6503944475992,0.302236760348987,0.384579752367,0.785888384629688,0.431932880010997,0.484182825173618,thiE,K00788,b3993
"17107_thiC",123.725638048433,0.681765396799849,0.270713063003366,2.51840598025139,0.0117887352307946,0.0177790328797155,thiC,K03147,b3994
"17108_rsd",413.245489834091,-2.07084494996202,0.276793632280794,-7.48154837558271,7.34519912170663e-14,3.82072519802702e-13,rsd,K07740,b3995
"17109_nudC",265.710744297118,-0.35540748947048,0.172934831081296,-2.05515272573057,0.0398642555994762,0.0555447986835481,nudC,K03426,b3996
"17110_hemE",857.341223550189,0.320122221089568,0.178121371513244,1.79721399161675,0.0723016541442268,0.096273942878582,hemE,K01599,b3997
"17111_nfi",82.8094561273983,-0.264399673856315,0.182432515537901,-1.44930125573687,0.147253470563899,0.183846398877683,nfi,K05982,b3998
"17112_hypothetical_protein",847.260698708643,1.03044847314609,0.123011192959062,8.37686757081546,5.43549479228688e-17,3.66566252568781e-16,yjaG,K09891,b3999
"17113_hupA",8256.23342550161,-0.380751041328794,0.158218104741506,-2.40649476841389,0.0161064347120475,0.023802894063522,hupA,K05787,b4000
"17114_hypothetical_protein",504.837092301228,1.41536086677531,0.154970335451162,9.13310836331871,6.65601850996519e-20,5.96894563151717e-19,yjaH,NA,b1316
"17115_zraP",13.3949084621241,-0.0172626730100374,0.362466059640361,-0.0476256260438991,0.962014608569288,0.969375976899057,zraP,K07803,b4002
"17117_zraS",85.4842594765513,0.147295973192372,0.144725160667933,1.01776341109296,0.308790404103501,0.359513071692396,zraS,K07709,b4003
"17120_purH",434.97932328249,1.61019882355864,0.205156773209131,7.84862619143092,4.20619261056384e-15,2.48975865637242e-14,purH,K00602,b4006
"17121_yjaB_2",60.5644113950522,-0.428512965939336,0.267840210906404,-1.59988287228865,0.109624569640961,0.14080116696185,yjaB,K03827,b4012
"17122_metA",5461.91151092776,-4.6518743473762,0.539652120949741,-8.62013539238816,6.68749928048769e-18,4.93572955745729e-17,metA,K00651,b4013
"17123_aceB",304.559918230978,-2.80398401567589,0.322220483196499,-8.70206632384057,3.25895017502009e-18,2.47838703279643e-17,aceB,K01638,b4014
"17124_aceA",180.079600472282,-3.0177194020771,0.361055785657425,-8.35804194795637,6.37677738923192e-17,4.28889705049954e-16,aceA,K01637,b4015
"17127_iclR",437.094321914047,0.737961412893922,0.19705124645984,3.74502281082663,0.00018037738619117,0.000357893909794057,iclR,NA,b4018
"17130_pepE",90.9208815401005,-2.19064290595334,0.357553167082905,-6.12676129769926,8.96858658606693e-10,3.23334346373768e-09,pepE,K05995,b4021
"17132_hypothetical_protein",254.99082945983,-1.80943082753577,0.157359125843723,-11.4987346163371,1.33863493241305e-30,3.38309555646208e-29,yjbD,NA,b1316
"17136_lysC",1523.69035898616,-2.32078743267194,0.21910919050822,-10.5919218965161,3.24852670830596e-26,5.56699576998733e-25,lysC,K00928,b4024
"17137_pgi",3111.42853319895,0.479986314529243,0.156278933214813,3.07134368436901,0.00213097710461704,0.00364935298819428,pgi,K01810,b4025
"17138_Exopolysaccharide_production_protein_YjbE",6.02536164491048,-0.0866899766549347,0.554569364901572,-0.156319447379357,0.87578122798068,0.894734435446167,pgi,K01810,b4025
"17139_gfcB_1",9.62108764593736,-0.223856968392175,0.485157202594268,-0.4614112027919,0.644503615578929,0.687067765734334,yjbF,NA,b0986
"17140_hypothetical_protein",4.79121685003379,-0.162719455495069,0.598870106456266,-0.271710766225984,0.785844422386288,0.816182127360105,yjbG,NA,b1316
"17141_hypothetical_protein",62.848175836381,-0.173010272070846,0.450184695007644,-0.38430953781738,0.700749039636864,0.737541294329209,yjbH,NA,b1316
"17142_phosphate-starvation-inducible_protein_PsiE",249.773606267909,-2.06561192408397,0.357398676822557,-5.77957350723354,7.48902284200388e-09,2.47197033650313e-08,yjbA,NA,NA
"17144_malG",114.291615194556,-3.52377569592462,0.551913254095197,-6.3846549612248,1.71784351579829e-10,6.69477332792418e-10,malG,NA,b4032
"17146_malE",2234.51913432806,-3.65206308490125,0.58887253906833,-6.20178874477534,5.58249820745188e-10,2.06009004646676e-09,malE,K10108,b4034
"17148_malK",1029.32128690895,-3.88573237318173,0.676360434634204,-5.74506161834149,9.18875188921984e-09,2.99742597481461e-08,malK,K10111,b4035
"17150_maltose_regulon_periplasmic_protein",475.380007797012,-2.6430928737114,0.605708179379149,-4.36364071626137,1.27915595432379e-05,2.90685576541156e-05,malM,K05775,b4037
"17155_ubiA",209.873449174028,-0.705795251114155,0.15190741835892,-4.64621977477448,3.38072834016805e-06,8.3253762865162e-06,ubiA,K03179,b4040
"17156_plsB",2320.14010970948,0.894348506029148,0.118130592900593,7.57084582468611,3.70801918592599e-14,1.98236410324505e-13,plsB,K00631,b4041
"17157_dgkA",154.903931909081,-0.171783359799544,0.209713679898351,-0.819132828544176,0.412710633700836,0.464926612120438,dgkA,K00901,b4042
"17158_lexA_1",1907.09617430825,0.561538445134524,0.263936950006148,2.12754767803994,0.0333746042563573,0.0469383135747083,lexA,K01356,b4043
"17160_hypothetical_protein",164.131192591993,-1.95496006053252,0.382003839034092,-5.11764506209071,3.09374101595553e-07,8.51544556866967e-07,yjbJ,NA,b1316
"17161_zur",127.517834519803,-0.58226804874522,0.16912035533817,-3.44292115269583,0.000575467066130663,0.00107609760796631,yjbK,K09823,b4046
"17164_pspG",147.26397611683,2.25622949353845,0.309440452070986,7.29132044126174,3.06931762861271e-13,1.52976747147191e-12,pspG,NA,b4050
"17165_qorA",328.043622591239,-2.56934257436069,0.184852785594738,-13.8993987355624,6.38756875609961e-44,4.84293849326097e-42,qor,K00344,b4051
"17166_dnaB",1047.11916964865,0.826088863507285,0.139340912417431,5.92854495621877,3.05630742775736e-09,1.03476064739498e-08,dnaB,K02314,b4052
"17168_tyrB",1738.07283202597,-0.740940879862118,0.192081182867147,-3.8574360528308,0.000114582643133858,0.00023345746996817,tyrB,K00832,b4054
"17170_aphA",289.857041504442,-2.32624511772313,0.177919795527011,-13.0746840779163,4.59468859243622e-39,2.44593848048413e-37,aphA,K03788,b4055
"17171_hypothetical_protein",644.417363515085,-2.00148364450613,0.162171290819671,-12.3417877134105,5.39446442175575e-35,1.90097887087787e-33,yjbQ,NA,b1316
"17172_hypothetical_protein",169.266312368688,-1.56929361013775,0.225856944288645,-6.94817516052194,3.70041390533831e-12,1.69258420313646e-11,yjbR,NA,b1316
"17173_uvrA",1535.73831164306,0.00397168890631529,0.153611929725516,0.0258553415311699,0.97937272042181,0.984487965646995,uvrA,K03701,b4058
"17175_hypothetical_protein",37.8857585879793,1.31511188273731,0.379952255192312,3.46125563084673,0.000537662003249247,0.00101145137754106,yjcB,NA,b1316
"17176_yjcC_1",267.039131205417,-1.3322445292455,0.265385309707559,-5.02003871545704,5.1661066310993e-07,1.38538036345235e-06,yjcC,NA,b4061
"17177_soxS",145.675136048626,1.89010140633894,0.351456279735106,5.37791331474717,7.53540794301821e-08,2.22855681719049e-07,soxS,NA,b4062
"17178_soxR",70.8064213753767,-0.783987018394741,0.180728954976158,-4.33791596093812,1.43840130729748e-05,3.25102084088373e-05,soxR,NA,NA
"17182_actP",102.801867714618,-1.09358224203255,0.374144494980167,-2.92288743174082,0.00346801870014388,0.0057463462170596,actP,K03307,b3679
"17183_yjcH",15.680287970835,-2.20329085008507,0.406681833884639,-5.4177262579918,6.03617384381214e-08,1.80651997095909e-07,yjcH,NA,b4068
"17184_acs",403.162742090268,-2.82098986388752,0.431905846607932,-6.53149265295385,6.51174172526983e-11,2.64057986979337e-10,acs,K01895,b4069
"17185_nrfA",137.658904446652,-1.59812930206602,0.420817644880363,-3.79767655065975,0.000146058741065101,0.000292585244311354,nrfA,K03385,b4070
"17187_ydhX_1",9.48357952266989,-2.12819675044167,0.53961832844187,-3.94389263349666,8.01695619459017e-05,0.000166736694919905,nrfC,K04014,b4072
"17188_Polysulfide_reductase-_NrfD",35.7082833432768,-2.45416112012021,0.58541260836242,-4.19219040564441,2.762739646176e-05,6.03700837967891e-05,nrfD,K04015,b4073
"17190_ccmH_2",16.001474605539,-0.345409895248853,0.422614421716018,-0.817316867338134,0.413747369962479,0.465884752315987,nrfF,NA,b2194
"17193_Sel1_repeat_protein",455.051965056119,-0.319842700268553,0.287722775248987,-1.11163497568717,0.266295128005821,0.314791627095283,yjcO,NA,b0644
"17196_mdtP_2",25.8466296946843,-0.165485404959957,0.345431876085676,-0.479068135909124,0.631890157143849,0.675925255739167,yjcP,NA,b4080
"17197_mdtO",36.4973609887288,0.487760839156565,0.491955765775572,0.991472959743863,0.321454689658832,0.372007231048288,yjcQ,NA,b4081
"17198_mdtN",2.93571883313572,-0.447646166444846,0.467904049710984,-0.956705048228048,0.338716149376465,0.389282409618702,yjcR,NA,b4082
"17199_hypothetical_protein",14.5186137308689,0.999961406262365,0.678288456929092,1.47424211048737,0.140416415486578,0.1764549831981,conserved hypothetical protein,NA,b1316
"17203_phnP",28.6056647610483,-0.620921224121,0.398268220909036,-1.55905289833009,0.11898386052063,0.152119376097402,phnP,K06167,b4092
"17204_aminoalkylphosphonic_acid_N-acetyltransferase",21.3371012010946,-0.982403247230974,0.297748348993133,-3.2994414597195,0.000968774307404991,0.00174814716296526,phnO,K09994,b4093
"17205_phnN",17.5803016830197,-0.860295227301678,0.348389342760973,-2.46935001077779,0.0135358749935454,0.0203038124903181,phnN,K05774,b4094
