"","K-statistic","P-value"
"19053_ydfZ","0.442791963334389","0.042"
"19099_bioD1_2","0.482353011473537","0.027"
"19112_folM","0.743595741388858","0.002"
"19124_kstR2","0.44122000991921","0.04"
"19129_Aminodeoxyfutalosine_deaminase","1.02560879145455","0.001"
"19130_ydgJ","0.553665173551716","0.013"
"19131_cnu","0.813517892854591","0.002"
"19161_grxD","0.908669852008324","0.001"
"19162_mepH","1.00605686264047","0.001"
"19173_ydhR","1.50380351473026","0.001"
"19177_ydhX_2","0.56034589406714","0.016"
