"","log2FoldChange","symbol","bnum"
"15100_mtfA",-2.5446276021389,"yeeI","b1976"
"18776_YciI-like_protein",-2.55413251680719,"yciI","b1251"
"17745_hypothetical_protein",-2.5573605071482,"yaeP","b1316"
"17267_frdA",-2.55811000512312,"frdA","b4154"
"15810_gutQ",-2.56840051611922,"gutQ","b2708"
"18781_ompW",-2.56886325704266,"ompW","b1256"
"17165_qorA",-2.56934257436067,"qor","b4051"
"18963_flr",-2.57974942852094,"yddH","b1462"
"16541_glgB",-2.58196659548347,"glgB","b3432"
"16042_serA",-2.58916696655642,"serA","b2913"
"17753_metQ",-2.59663533937088,"metQ","b3661"
"15221_yegS",-2.6022583588236,"yegS","b2086"
"17975_hypothetical_protein",-2.61555883603878,"yaiE","b0391"
"15782_Putative_NrdI-like_protein",-2.62188830015259,"nrdI","b2674"
"16096_ansB",-2.62504474968709,"ansB","b2957"
"14816_ydiB_1",-2.64222780562601,"ydiB","b1692"
"18305_galE",-2.64246808243873,"galE","b0759"
"17150_maltose_regulon_periplasmic_protein",-2.6430928737114,"malM","b4037"
"18877_hypothetical_protein",-2.64512319910865,"ydbJ","b1316"
"17065_gldA_1",-2.65764281171718,"gldA","b3945"
"15029_otsB",-2.66200847126299,"otsB","b1897"
"18205_hypothetical_protein",-2.66243068594955,"ybeL","b0643"
"16237_hypothetical_protein",-2.66781051442181,"yqjC","b1316"
"16367_mdh_2",-2.67686146569317,"mdh","b3236"
"17080_rspA_1",-2.70853782358088,"rspA","b1581"
"14813_hypothetical_protein",-2.71197515897187,"ydiL","b1316"
"16696_yiaO_1",-2.71255129708125,"yiaO","b3579"
"18179_citE",-2.71708503807692,"citE","b0616"
"16615_putative_Mg-2+-_transport_ATPase",-2.73107779409234,"yhiD","b3508"
"17634_ilvH",-2.73188669624893,"ilvH","b3670"
"17366_argI",-2.76607231258919,"argI","b4254"
"17755_metN",-2.76662035056166,"metN","b0199"
"15767_carbon_starvation_induced_protein",-2.77861017269356,"ygaT","b0126"
"17266_frdB",-2.79321571576214,"frdB","b4153"
"18718_hypothetical_protein",-2.7956541632004,"ymgE","b1195"
"18547_cbpM",-2.79579128496856,"cbpM","b0999"
"18181_citC",-2.79895820829067,"citC","b0618"
"17123_aceB",-2.8039840156758,"aceB","b4014"
"17618_araA",-2.80791175500783,"araA","b0062"
"16515_feoC",-2.81019631196951,"yhgG","b3410"
"17237_hypothetical_protein",-2.81036599960713,"yjdI","b1316"
"15912_ygdR_1",-2.81993569398596,"ygdI","b2809"
"17184_acs",-2.82098986388745,"acs","b4069"
"18306_ylmA",-2.83747657889014,"modF","b0760"
"16035_gcvT",-2.8393132475157,"gcvT","b2905"
"16892_ilvA",-2.84212226819157,"ilvA","b3772"
"15244_putative_fimbrial_protein",-2.84275087592884,"yehD","b0005"
"17968_psiF",-2.84573676146143,"psiF","b0384"
"16034_gcvH",-2.86337799001695,"gcvH","b2904"
"16238_hypothetical_protein",-2.86681982711955,"yqjD","b1316"
"15365_glpB",-2.87646950152175,"glpB","b2242"
"16680_yiaB",-2.88358423621221,"yiaB","b3563"
"18175_citT",-2.89470574301922,"citT","b0612"
"15768_lhgO",-2.90224264406455,"ygaF","b2660"
"15391_hypothetical_protein",-2.90441004573844,"yfbM","b1316"
"17238_Acetyltransferase_-GNAT-_family_protein",-2.90826702622919,"yjdJ","b4127"
"16700_sgbE",-2.92562772981652,"sgbE","b3583"
"18039_hypothetical_protein",-2.92601213358459,"ybaY","b0453"
"15808_DNA-binding_transcriptional_activator_GutM",-2.92920905704535,"gutM","b2706"
"17265_frdC",-2.9307133282936,"frdC","b4152"
"17042_glpF",-2.93400393596885,"glpF","b3927"
"17632_leuO",-2.94122962507196,"leuO","b0076"
"15601_tal_1",-2.94417979962271,"talA","b2464"
"15738_raiA",-2.94774369237971,"yfiA","b2597"
"15268_yohC",-2.96534802766997,"yohC","b2135"
"17617_araD",-2.97325205954191,"araD","b0061"
"16666_lip-1",-2.97825322146272,"yhjY","b3548"
"17299_bsmA",-2.9887697844558,"yjfO","b4189"
"16879_rbsB",-2.99504392850866,"rbsB","b3751"
"18304_galT",-3.00396832463242,"galT","b0758"
"15028_otsA",-3.00561194746447,"otsA","b1896"
"17124_aceA",-3.01771940207704,"aceA","b4015"
"18410_artJ",-3.01860065243295,"artJ","b0860"
"17078_argB",-3.01943980468415,"argB","b3959"
"17077_argC",-3.02801606372033,"argC","b3958"
"15092_hchA",-3.03676097561704,"hchA","b1967"
"17343_ytfQ",-3.04037123890802,"ytfQ","b4227"
"18611_mdtH",-3.05191365220229,"mdtH","b1065"
"18176_citG",-3.05615876143459,"citG","b0613"
"18374_fsaA",-3.0570085765884,"fsaA","b0825"
"18901_ydbC",-3.06379966315203,"ydbC","b1406"
"16308_argG",-3.07362406870573,"argG","b3172"
"15946_thlA",-3.08599975694625,"yqeF","b2844"
"16538_glgA",-3.09000901161751,"glgA","b3429"
"16686_xylR",-3.09918876361972,"xylR","b3753"
"15362_glpQ",-3.10385380476186,"glpQ","b3449"
"16619_gadE",-3.10951380716578,"gadE","b3512"
"17041_glpK",-3.16362219794921,"glpK","b3926"
"16600_uspA",-3.16827171833957,"uspA","b3495"
