,HM01_UR,HM01_UTI,HM03_UR,HM03_UTI,HM06_UR,HM06_UTI,HM07_UR,HM07_UTI,HM14_UR,HM14_UTI,HM17_UR,HM17_UTI,HM43_UR,HM43_UTI,HM54_UR,HM54_UTI,HM56_UR,HM56_UTI,HM57_UR,HM57_UTI,HM60_UR,HM60_UTI,HM66_UR,HM66_UTI,HM68_UR,HM68_UTI,HM86_UR,HM86_UTI
b0484,1531.0,567.0,2142.0,829.0,1574.0,682.0,1824.0,100.0,1595.0,558.0,1457.0,43.0,1806.0,249.0,1018.0,783.0,1541.0,599.0,3911.0,55.0,955.0,32.0,1317.0,2.0,2648.0,116.0,853.0,185.0
b1743,981.0,2668.0,1111.0,119.0,817.0,679.0,1098.0,158.0,957.0,332.0,799.0,139.0,878.0,1133.0,744.0,466.0,936.0,404.0,1963.0,25.0,612.0,27.0,807.0,4.0,16217.0,91.0,520.0,120.0
b3572,7613.0,2453.0,13700.0,5664.0,14267.0,5308.0,14928.0,1835.0,14662.0,12337.0,15980.0,1408.0,11782.0,4628.0,12111.0,7602.0,11582.0,9186.0,11612.0,794.0,8745.0,473.0,10061.0,55.0,13761.0,2555.0,16125.0,5727.0
b3148,565.0,74.0,492.0,169.0,545.0,88.0,522.0,33.0,478.0,188.0,450.0,29.0,474.0,108.0,371.0,86.0,388.0,224.0,384.0,23.0,265.0,13.0,388.0,1.0,468.0,22.0,300.0,117.0
b2922,4414.0,147.0,6473.0,464.0,3349.0,177.0,6820.0,102.0,6373.0,872.0,3123.0,69.0,4851.0,676.0,4937.0,425.0,3061.0,1209.0,3404.0,45.0,3069.0,31.0,1717.0,4.0,3986.0,130.0,1479.0,340.0
b2785,2271.0,394.0,3586.0,607.0,539.0,123.0,375.0,72.0,3222.0,1224.0,392.0,90.0,2851.0,752.0,2408.0,500.0,2031.0,1193.0,2558.0,79.0,2351.0,93.0,1966.0,10.0,2674.0,239.0,1875.0,590.0
b0221,1076.0,19.0,678.0,61.0,602.0,63.0,658.0,19.0,667.0,48.0,280.0,5.0,648.0,147.0,955.0,30.0,267.0,53.0,656.0,18.0,539.0,13.0,302.0,5.0,404.0,18.0,212.0,37.0
b4014,1129.0,17.0,964.0,58.0,2146.0,109.0,1498.0,25.0,2202.0,159.0,1385.0,6.0,1805.0,98.0,2336.0,31.0,1837.0,130.0,2052.0,18.0,1151.0,18.0,3120.0,3.0,532.0,12.0,448.0,67.0
b3728,1703.0,1426.0,2436.0,358.0,4452.0,723.0,3127.0,67.0,1383.0,244.0,1623.0,153.0,1952.0,1573.0,845.0,1062.0,555.0,761.0,1082.0,59.0,608.0,63.0,434.0,12.0,7670.0,174.0,788.0,1257.0
b3178,13522.0,4625.0,19525.0,8089.0,23219.0,4900.0,23920.0,2649.0,20583.0,11500.0,21770.0,1994.0,21784.0,11929.0,21705.0,9509.0,13669.0,12773.0,18742.0,957.0,13570.0,764.0,16749.0,69.0,41784.0,2727.0,13193.0,6804.0
b1046,367.0,95.0,757.0,141.0,713.0,147.0,424.0,14.0,531.0,258.0,584.0,33.0,567.0,247.0,629.0,233.0,553.0,207.0,611.0,24.0,100.0,4.0,609.0,0.0,1292.0,60.0,439.0,130.0
b3094,7147.0,306.0,9893.0,431.0,5884.0,539.0,7950.0,144.0,8100.0,594.0,3738.0,164.0,4607.0,685.0,3498.0,833.0,4267.0,866.0,4826.0,99.0,3378.0,139.0,3300.0,5.0,1474.0,225.0,3929.0,723.0
b0122,567.0,117.0,1141.0,147.0,879.0,111.0,1211.0,39.0,588.0,361.0,569.0,36.0,595.0,232.0,536.0,350.0,481.0,284.0,571.0,36.0,456.0,18.0,540.0,1.0,749.0,58.0,661.0,191.0
b1728,137.0,94.0,262.0,170.0,336.0,189.0,217.0,64.0,326.0,240.0,121.0,29.0,309.0,118.0,287.0,303.0,163.0,360.0,162.0,24.0,167.0,22.0,342.0,2.0,163.0,93.0,241.0,124.0
b4263,1225.0,38.0,2550.0,121.0,974.0,49.0,2311.0,35.0,2571.0,216.0,1719.0,41.0,1520.0,215.0,1181.0,111.0,1445.0,212.0,1549.0,34.0,1033.0,17.0,1314.0,7.0,403.0,22.0,680.0,150.0
b0817,2322.0,244.0,2682.0,420.0,2135.0,194.0,2660.0,144.0,2185.0,1265.0,1445.0,92.0,2016.0,539.0,1752.0,292.0,1348.0,634.0,1920.0,53.0,270.0,18.0,1065.0,4.0,2591.0,168.0,987.0,412.0
b0194,2972.0,1289.0,6259.0,2944.0,6460.0,1331.0,5180.0,386.0,7089.0,5203.0,5625.0,702.0,5753.0,2959.0,4707.0,2265.0,3062.0,4528.0,3080.0,296.0,4280.0,324.0,2235.0,18.0,5340.0,683.0,3344.0,2677.0
b1734,268.0,16.0,757.0,59.0,717.0,57.0,937.0,13.0,594.0,99.0,603.0,30.0,612.0,151.0,402.0,50.0,471.0,106.0,495.0,12.0,232.0,12.0,473.0,1.0,964.0,21.0,741.0,61.0
b3765,359.0,18.0,332.0,61.0,271.0,46.0,370.0,14.0,324.0,94.0,290.0,7.0,259.0,68.0,130.0,30.0,280.0,102.0,277.0,33.0,148.0,13.0,167.0,2.0,177.0,23.0,304.0,41.0
b2824,39.0,0.0,68.0,11.0,56.0,10.0,63.0,4.0,53.0,6.0,38.0,2.0,28.0,5.0,30.0,5.0,21.0,15.0,41.0,4.0,20.0,1.0,39.0,0.0,32.0,3.0,34.0,6.0
b3736,7260.0,1955.0,10864.0,7932.0,16153.0,2068.0,9618.0,1818.0,9999.0,12809.0,15751.0,2364.0,16505.0,6870.0,12059.0,4726.0,13786.0,18057.0,10341.0,776.0,7655.0,546.0,8113.0,54.0,9654.0,1975.0,6930.0,6600.0
b0873,6953.0,179.0,3395.0,306.0,2097.0,1058.0,712.0,18.0,980.0,2253.0,2895.0,10.0,5433.0,193.0,569.0,376.0,5108.0,256.0,4305.0,14.0,2660.0,15.0,8068.0,1.0,1540.0,68.0,8144.0,67.0
b0124,902.0,640.0,1689.0,4704.0,818.0,220.0,856.0,147.0,1700.0,6724.0,1566.0,211.0,1720.0,1278.0,1048.0,1585.0,1312.0,2089.0,1952.0,117.0,1128.0,350.0,716.0,8.0,2325.0,455.0,855.0,790.0
b3464,2918.0,1226.0,3955.0,1711.0,3605.0,662.0,2579.0,347.0,3001.0,3475.0,2105.0,306.0,2541.0,1504.0,2639.0,1176.0,1706.0,2509.0,2143.0,183.0,1536.0,149.0,1913.0,14.0,3278.0,529.0,2047.0,1092.0
